theme,proxy_ticker,proxy_name,style,risk_level,max_theme_weight,total_market_value_yi,source_as_of,selection_note
红利低波,512890,红利低波ETF华泰柏瑞,dividend,low,0.20,308.77,2026-05-19 16:00,同方向按总市值最大选择
银行,512800,银行ETF华宝,dividend,low,0.18,103.45,2026-05-19 16:00,同方向按总市值最大选择
煤炭,515220,煤炭ETF国泰,resource,medium,0.12,115.23,2026-05-19 16:00,同方向按总市值最大选择
有色金属,512400,有色金属ETF南方,resource,medium,0.12,255.04,2026-05-19 16:00,同方向按总市值最大选择
黄金,518880,黄金ETF华安,macro,medium,0.12,1100.13,2026-05-19 16:00,同方向按总市值最大选择
半导体,512480,半导体ETF国联安,tech,high,0.12,192.79,2026-05-19 16:00,选宽基半导体ETF；排除半导体设备/科创/中韩等窄口径
芯片,159995,芯片ETF华夏,tech,high,0.12,273.34,2026-05-19 15:35,选宽基芯片ETF；排除科创芯片等窄口径
人工智能,159819,人工智能ETF易方达,tech,high,0.12,247.75,2026-05-19 15:34,同方向按总市值最大选择
计算机,159998,计算机ETF天弘,tech,high,0.10,22.06,2026-05-19 15:35,选名称精确匹配计算机ETF；未用软件/信创替代
通信,515880,通信ETF国泰,tech,medium,0.12,287.62,2026-05-19 16:00,同方向按总市值最大选择
恒生科技,159740,恒生科技ETF大成,hk_tech,high,0.10,,2026-06-23,用户指定加入A股ETF方向池；跟踪港股科技风险偏好和南向资金弹性
创新药,159992,创新药ETF银华,healthcare,high,0.10,149.58,2026-05-19 15:34,选A股创新药ETF；排除港股通/港股创新药
医疗器械,159883,医疗器械ETF永赢,healthcare,medium,0.10,47.67,2026-05-19 15:35,同方向按总市值最大选择
消费,159928,消费ETF汇添富,consumer,medium,0.12,171.71,2026-05-19 15:35,选宽基消费ETF；排除消费电子/恒生消费等窄口径
酒,512690,酒ETF鹏华,consumer,medium,0.10,158.75,2026-05-19 16:00,同方向按总市值最大选择
新能源车,515030,新能源车ETF华夏,growth,high,0.10,52.30,2026-05-19 16:00,同方向按总市值最大选择
光伏,515790,光伏ETF华泰柏瑞,growth,high,0.10,94.76,2026-05-19 16:00,同方向按总市值最大选择
军工,512710,军工龙头ETF富国,advanced_manufacturing,high,0.10,88.60,2026-05-19 16:00,军工方向当前总市值略高于512660军工ETF国泰
机器人,562500,机器人ETF华夏,advanced_manufacturing,high,0.10,206.09,2026-05-19 16:00,同方向按总市值最大选择
游戏,516010,游戏ETF国泰,media,high,0.08,,2026-05-27,用户长期追踪持仓ETF；纳入方向代理池
创业板50,159949,创业板50ETF华安,broad_growth,high,0.15,,2026-05-27,用户长期追踪持仓ETF；纳入成长宽基代理
